Assay,Gene_Symbol
ADA,ADA
ANG,ANG
ANGPTL3,ANGPTL3
AOC3,AOC3
APOM,APOM
ARTN,ARTN
AXIN1,AXIN1
C1QTNF1,C1QTNF1
C2,C2
CA1,CA1
CA3,CA3
CA4,CA4
CASP-8,CASP8
CCL11,CCL11
MCP-4,CCL13
CCL14,CCL14
CCL18,CCL18
CCL19,CCL19
MCP-1,CCL2
CCL20,CCL20
CCL23,CCL23
CCL25,CCL25
CCL28,CCL28
CCL3,CCL3
CCL4,CCL4
CCL5,CCL5
MCP-3,CCL7
MCP-2,CCL8
CD244,CD244
PD-L1,CD274
CD40,CD40
CD46,CD46
CD5,CD5
CD59,CD59
CD6,CD6
CD8A,CD8A
CDCP1,CDCP1
CDH1,CDH1
CES1,CES1
CFHR5,CFHR5
CHL1,CHL1
CNDP1,CNDP1
COL18A1,COL18A1
COMP,COMP
CR2,CR2
CRTAC1,CRTAC1
CSF-1,CSF1
CST3,CST3
CST5,CST5
CX3CL1,CX3CL1
CXCL1,CXCL1
CXCL10,CXCL10
CXCL11,CXCL11
CXCL5,CXCL5
CXCL6,CXCL6
CXCL9,CXCL9
DEFA1,DEFA1
DNER,DNER
DPP4,DPP4
EFEMP1,EFEMP1
4E-BP1,EIF4EBP1
ENG,ENG
F11,F11
F7,F7
FAP,FAP
FCGR2A,FCGR2A
FCGR3B,FCGR3B
FCN2,FCN2
FETUB,FETUB
FGF-19,FGF19
FGF-21,FGF21
FGF-23,FGF23
FGF-5,FGF5
Flt3L,FLT3LG
GAS6,GAS6
GDNF,GDNF
GNLY,GNLY
GP1BA,GP1BA
HGF,HGF
ICAM1,ICAM1
ICAM3,ICAM3
IFN-gamma,IFNG
IGFBP3,IGFBP3
IGFBP6,IGFBP6
IGLC2,IGLC2
IL10,IL10
IL-10RA,IL10RA
IL-10RB,IL10RB
IL-12B,IL12B
IL13,IL13
IL-15RA,IL15RA
IL-17A,IL17A
IL-17C,IL17C
IL-18R1,IL18R1
IL-1 alpha,IL1A
IL2,IL2
IL-20,IL20
IL-20RA,IL20RA
IL-22 RA1,IL22RA1
IL-24,IL24
IL-2RB,IL2RB
IL33,IL33
IL4,IL4
IL5,IL5
IL6,IL6
IL7,IL7
IL7R,IL7R
IL8,IL8
ITGAM,ITGAM
KIT,KIT
SCF,KITLG
LCN2,LCN2
LIF,LIF
LIF-R,LIFR
LILRB1,LILRB1
LILRB2,LILRB2
LILRB5,LILRB5
TNFB,LTA
LTBP2,LTBP2
LYVE1,LYVE1
MBL2,MBL2
MEGF9,MEGF9
MET,MET
MFAP5,MFAP5
MMP-1,MMP1
MMP-10,MMP10
NCAM1,NCAM1
Beta-NGF,NGF
NID1,NID1
NOTCH1,NOTCH1
NRP1,NRP1
NRTN,NRTN
NT-3,NTF3
OSM,OSM
OSMR,OSMR
PAM,PAM
PCOLCE,PCOLCE
uPA,PLAU
PLTP,PLTP
PLXNB2,PLXNB2
PRCP,PRCP
PROC,PROC
PRSS2,PRSS2
PTPRS,PTPRS
QPCT,QPCT
REG1A,REG1A
REG3A,REG3A
EN-RAGE,S100A12
SAA4,SAA4
SELL,SELL
SERPINA5,SERPINA5
SERPINA7,SERPINA7
SIRT2,SIRT2
SLAMF1,SLAMF1
SOD1,SOD1
SPARCL1,SPARCL1
ST6GAL1,ST6GAL1
STAMBP,STAMBP
ST1A1,SULT1A1
TCN2,TCN2
TGF-alpha,TGFA
LAP TGF-beta-1,TGFB1
TGFBI,TGFBI
TGFBR3,TGFBR3
THBS4,THBS4
TIE1,TIE1
TIMD4,TIMD4
TIMP1,TIMP1
TNC,TNC
TNF,TNF
OPG,TNFRSF11B
TNFRSF9,TNFRSF9
TRAIL,TNFSF10
TRANCE,TNFSF11
TWEAK,TNFSF12
TNFSF14,TNFSF14
TNXB,TNXB
TSLP,TSLP
UMOD,UMOD
VASN,VASN
VCAM1,VCAM1
VEGFA,VEGFA
PLA2G7,PLA2G7
IL18,IL18
